tile_id,lon,lat,pm25,x,y,predicted_value,predicted_variance,z_val,tile_sampled,pm25_percentile,n_measurements,gamma_attacks,proportion_gamma_attacks,p_value,med_pm25_detrended_15,med_pm25,min_lat,max_lat,min_lon,max_lon
31,116.4223,39.873,37.783704,450596.3167279431,4413821.290059299,0.3936202595906977,11.806317665920638,0.1136262755805314,0,,0.0,,,0.5452329713284922,,,39.87285,39.873149999999995,116.42215,116.42245
32,116.4226,39.873,37.374651,450621.9722506683,4413821.124260906,0.4260702543073171,11.870995863315796,0.1227345790402006,0,,0.0,,,0.54884135962443,,,39.87285,39.873149999999995,116.42245,116.42269999999999
33,116.4228,39.873,37.374651,450639.075932348,4413821.013776495,0.4473394820914748,11.91398906214722,0.1286749472346625,0,,0.0,,,0.5511925701034943,,,39.87285,39.873149999999995,116.42269999999999,116.42295
34,116.4231,39.873,37.783704,450664.7314546686,4413820.848121652,0.478634007714964,11.977174495397511,0.1373776424047827,0,,0.0,,,0.5546338488699228,,,39.87285,39.873149999999995,116.42295,116.42325
35,116.4234,39.873,37.783704,450690.3869767432,4413820.682552937,0.5091847488178084,12.03754312906834,0.1458382086422057,0,,0.0,,,0.5579754438912349,,,39.87285,39.873149999999995,116.42325,116.42355
36,116.4237,39.873,37.783704,450716.0424985762,4413820.517070352,0.5390533106480014,12.093767220085326,0.154087631955251,0,,0.0,,,0.5612296799578129,,,39.87285,39.873149999999995,116.42355,116.4238
37,116.4239,39.873,37.783704,450733.1461796621,4413820.406796479,0.5586538112526873,12.128325749075543,0.1594961101191415,0,,0.0,,,0.5633609886174201,,,39.87285,39.873149999999995,116.4238,116.42405
38,116.4242,39.873,37.783704,450758.80170108704,4413820.241457442,0.5877377006404735,12.174881023436583,0.1675261497299234,0,,0.0,,,0.5665219631229753,,,39.87285,39.873149999999995,116.42405,116.42435
39,116.4245,39.873,35.752448,450784.45722226845,4413820.076204534,0.6166751049024662,12.21406334692079,0.1755372084308466,0,,0.0,,,0.5696712317302616,,,39.87285,39.873149999999995,116.42435,116.4246
40,116.4247,39.873,35.752448,450801.56090292166,4413819.966083777,0.6360372260852631,12.23553408625454,0.1809184296047399,0,,0.0,,,0.5717841985872718,,,39.87285,39.873149999999995,116.4246,116.42484999999999
41,116.425,39.873,37.783704,450827.2164236999,4413819.800974418,0.6654395674224624,12.259967465744564,0.1891353132551476,0,,0.0,,,0.5750066175157199,,,39.87285,39.873149999999995,116.42484999999999,116.42515
42,116.4253,39.873,37.783704,450852.8719442329,4413819.6359511865,0.6955966424790502,12.274171824470407,0.197633661415064,0,,0.0,,,0.5783341518866959,,,39.87285,39.873149999999995,116.42515,116.42545
43,116.4256,39.873,37.783704,450878.5274645251,4413819.471014085,0.7268791738482335,12.277208818314158,0.2065371722769359,0,,0.0,,,0.5818143343299395,,,39.87285,39.873149999999995,116.42545,116.4257
44,116.4258,39.873,37.783704,450895.63114458206,4413819.361103866,0.7485388668391287,12.272613049567909,0.2127586197601384,0,,0.0,,,0.5842423793104711,,,39.87285,39.873149999999995,116.4257,116.42595
45,116.4261,39.873,37.783704,450921.2866644697,4413819.1963103125,0.7824894034607657,12.255249173180063,0.2226073658768957,0,,0.0,,,0.5880794484234584,,,39.87285,39.873149999999995,116.42595,116.42625000000001
46,116.4264,39.873,37.783704,450946.9421841125,4413819.031602887,0.8184693337890505,12.224798791975497,0.2331750070594195,0,,0.0,,,0.5921872437691076,,,39.87285,39.873149999999995,116.42625000000001,116.42654999999999
47,116.4267,39.873,37.783704,450972.5977035128,4413818.866981592,0.8567467456760913,12.180839344468774,0.2445627878618451,0,,0.0,,,0.5966025099296023,,,39.87285,39.873149999999995,116.42654999999999,116.4268
48,116.4269,39.873,37.374651,450989.70138298126,4413818.757281911,0.8836493753651188,12.143914880877064,0.2526542770097184,0,,0.0,,,0.5997323083279227,,,39.87285,39.873149999999995,116.4268,116.42705000000001
49,116.4272,39.873,37.374651,451015.3569019777,4413818.592804163,0.9262016418582776,12.077103629404348,0.2655966692693376,0,,0.0,,,0.6047250744829408,,,39.87285,39.873149999999995,116.42705000000001,116.42734999999999
