x,y,pm25,tile_id,max_x,min_x,max_y,min_y,min_lon,min_lat,max_lon,max_lat
531360.0,181960.0,12.9139,14319,531370.0,531350.0,181970.0,181950.0,-0.1081886385893935,51.52120273827422,-0.10789308941779618,51.521377821727356
531380.0,181960.0,12.9543,14320,531390.0,531370.0,181970.0,181950.0,-0.10790053900953876,51.521198091234545,-0.10760498878234806,51.52137317395077
531400.0,181960.0,13.0123,14321,531410.0,531390.0,181970.0,181950.0,-0.10761243950690776,51.52119344348769,-0.10731688822413839,51.52136852546698
531420.0,181960.0,12.8863,14322,531430.0,531410.0,181970.0,181950.0,-0.10732434008151406,51.52118879503365,-0.10702878774317871,51.521363876276
531440.0,181960.0,12.8611,14323,531450.0,531430.0,181970.0,181950.0,-0.10703624073336834,51.52118414587244,-0.10674068733947896,51.521359226377854
531460.0,181960.0,12.8468,14324,531470.0,531450.0,181970.0,181950.0,-0.10674814146248297,51.52117949600405,-0.10645258701305187,51.52135457577252
531480.0,181960.0,18.3364,14325,531490.0,531470.0,181970.0,181950.0,-0.10646004226886867,51.521174845428455,-0.10616448676390934,51.521349924460004
531500.0,181960.0,12.8201,14326,531510.0,531490.0,181970.0,181950.0,-0.10617194315253772,51.52117019414571,-0.10587638659206332,51.52134527244031
531520.0,181960.0,12.8172,14327,531530.0,531510.0,181970.0,181950.0,-0.1058838441135021,51.521165542155785,-0.10558828649752491,51.52134061971343
531540.0,181960.0,12.8704,14328,531550.0,531530.0,181970.0,181950.0,-0.10559574515177332,51.5211608894587,-0.10530018648030566,51.521335966279366
531560.0,181960.0,12.8647,14329,531570.0,531550.0,181970.0,181950.0,-0.10530764626736286,51.52115623605441,-0.10501208654041831,51.521331312138145
531580.0,181960.0,12.8132,14330,531590.0,531570.0,181970.0,181950.0,-0.10501954746028234,51.52115158194296,-0.10472398667787428,51.52132665728972
531600.0,181960.0,12.8067,14331,531610.0,531590.0,181970.0,181950.0,-0.10473144873054518,51.521146927124335,-0.10443588689268483,51.52132200173412
531620.0,181960.0,12.8057,14332,531630.0,531610.0,181970.0,181950.0,-0.10444335007816055,51.52114227159852,-0.10414778718486142,51.521317345471346
531640.0,181960.0,12.8108,14333,531650.0,531630.0,181970.0,181950.0,-0.10415525150314159,51.52113761536554,-0.10385968755441635,51.52131268850138
531660.0,181960.0,12.9018,14334,531670.0,531650.0,181970.0,181950.0,-0.10386715300549981,51.521132958425376,-0.10357158800136161,51.52130803082426
531680.0,181960.0,12.8249,14335,531690.0,531670.0,181970.0,181950.0,-0.10357905458524713,51.52112830077805,-0.10328348852570872,51.52130337243995
531700.0,181960.0,12.8231,14336,531710.0,531690.0,181970.0,181950.0,-0.10329095624239545,51.521123642423554,-0.10299538912746832,51.52129871334846
531720.0,181960.0,12.9059,14337,531730.0,531710.0,181970.0,181950.0,-0.10300285797695517,51.52111898336187,-0.10270728980665358,51.52129405354979
531740.0,181960.0,12.8633,14338,531750.0,531730.0,181970.0,181950.0,-0.10271475978893933,51.52111432359303,-0.10241919056327609,51.52128939304396
531760.0,181960.0,12.9223,14339,531770.0,531750.0,181970.0,181950.0,-0.10242666167835911,51.521109663117024,-0.10213109139734687,51.521284731830924
