tile_id,lon,lat,pm25,x,y,predicted_value,predicted_variance,z_val,tile_sampled,pm25_percentile,n_measurements,gamma_attacks,proportion_gamma_attacks,p_value,med_pm25_detrended_15,med_pm25,min_lat,max_lat,min_lon,max_lon
13,116.4076,39.9131,38.786265,449368.7101308882,4418280.187838195,1.1746931588820926,4.505106202517537,0.543013265626946,1,70.2239789196311,16.0,1.0,0.0625,0.7064396655690928,0.8965351589338795,50.75636500785304,39.912949999999995,39.913250000000005,116.40745000000001,116.4077
14,116.4078,39.9131,38.786265,449385.8038555816,4418280.074453959,1.180672577042397,4.485285261375013,0.5470351036313263,1,70.2239789196311,4.0,0.0,0.0,0.707822692223347,0.2692990674630983,39.26801887267587,39.912949999999995,39.913250000000005,116.4077,116.40795
15,116.4081,39.9131,38.786265,449411.4444424192,4418279.9044494,1.1893179222540065,4.458381491109751,0.5527775749714101,0,,0.0,,,0.7097921370359427,,,39.912949999999995,39.913250000000005,116.40795,116.40825000000001
16,116.4084,39.9131,38.786265,449437.0850290064,4418279.734530992,1.1973791772991746,4.432873642850331,0.558194479115586,0,,0.0,,,0.7116442047893384,,,39.912949999999995,39.913250000000005,116.40825000000001,116.40854999999999
17,116.4087,39.9131,38.786265,449462.7256153478,4418279.564698735,1.2049221850083294,4.408133524475492,0.5633513558781266,0,,0.0,,,0.713402172957668,,,39.912949999999995,39.913250000000005,116.40854999999999,116.4088
18,116.4089,39.9131,38.786265,449479.81933943694,4418279.451525094,1.2097262721764943,4.391932854207651,0.5666817871195707,0,,0.0,,,0.714534801513128,,,39.912949999999995,39.913250000000005,116.4088,116.40905000000001
19,116.4092,39.9131,38.786265,449505.4599253631,4418279.281836422,1.2166816206968327,4.36795138243065,0.5715632658283045,0,,0.0,,,0.7161910560640881,,,39.912949999999995,39.913250000000005,116.40905000000001,116.40934999999999
20,116.4095,39.9131,38.786265,449531.1005110415,4418279.112233903,1.223409726417391,4.344280657791398,0.5763462942259733,0,,0.0,,,0.7178094312669048,,,39.912949999999995,39.913250000000005,116.40934999999999,116.4096
21,116.4097,39.9131,38.786265,449548.1942346903,4418278.999213419,1.2277986582885938,4.3286976334276925,0.5794922697956488,0,,0.0,,,0.7188714694572729,,,39.912949999999995,39.913250000000005,116.4096,116.40985
22,116.41,39.9131,38.786265,449573.8348199584,4418278.829754485,1.2342770849787628,4.305818383186397,0.584151878488763,0,,0.0,,,0.7204409330159033,,,39.912949999999995,39.913250000000005,116.40985,116.41015
23,116.4103,39.9131,38.786265,449599.47540497687,4418278.660381703,1.2406672871084048,4.2839175747361,0.5887305721953209,0,,0.0,,,0.7219789870125756,,,39.912949999999995,39.913250000000005,116.41015,116.41045
24,116.4106,39.9131,38.786265,449625.1159897504,4418278.491095072,1.2469807200649188,4.26344542575288,0.5931999903425954,0,,0.0,,,0.723476340450546,,,39.912949999999995,39.913250000000005,116.41045,116.41069999999999
25,116.4108,39.9131,38.786265,449642.2097127925,4418278.378285181,1.2511338841601938,4.250776382408797,0.5960977178534741,0,,0.0,,,0.7244450256646342,,,39.912949999999995,39.913250000000005,116.41069999999999,116.41095
26,116.4111,39.9131,38.786265,449667.8502971542,4418278.209142135,1.2572353824824984,4.23344490729538,0.6002821088189175,0,,0.0,,,0.725840879892342,,,39.912949999999995,39.913250000000005,116.41095,116.41125
27,116.4114,39.9131,38.786265,449693.4908812669,4418278.040085241,1.263097800530907,4.218260153469713,0.6042159450296422,0,,0.0,,,0.7271499593622365,,,39.912949999999995,39.913250000000005,116.41125,116.41155
28,116.4117,39.9131,38.786265,449719.1314651328,4418277.871114499,1.2685488738869084,4.205162775530535,0.6078143755722292,0,,0.0,,,0.728344703113338,,,39.912949999999995,39.913250000000005,116.41155,116.4118
29,116.4119,39.9131,38.786265,449736.2251875759,4418277.7585152,1.271826929925855,4.197391457539561,0.6099768130162287,0,,0.0,,,0.729061416293268,,,39.912949999999995,39.913250000000005,116.4118,116.41205
30,116.4122,39.9131,38.786265,449761.8657710307,4418277.589688043,1.276186772109461,4.18697316973247,0.6128659247233854,0,,0.0,,,0.730017502009115,,,39.912949999999995,39.913250000000005,116.41205,116.41235
31,116.4125,39.9131,38.786265,449787.5063542392,4418277.420947038,1.280001609672638,4.178057162025523,0.6153858384610548,0,,0.0,,,0.7308500292570872,,,39.912949999999995,39.913250000000005,116.41235,116.4126
32,116.4127,39.9131,38.786265,449804.600076242,4418277.308500895,1.282268649247844,4.172900415986599,0.6168757469770374,0,,0.0,,,0.7313416575019109,,,39.912949999999995,39.913250000000005,116.4126,116.41284999999999
